"ID","Has.voted","Has.published","Published.at","Created.at","Updated.at","Projects.in.ballot","Votes"
"ID_03ece7","FALSE","TRUE","2024-08-09T15:10:33.091979Z","2024-08-08T08:10:33.091979Z","2024-08-09T15:10:33.091979Z","66","[{""amount"":""800000"",""projectId"":""projID_1""},{""amount"":""1800000"",""projectId"":""projID_78""},{""amount"":""1500000"",""projectId"":""projID_35""},{""amount"":""1200000"",""projectId"":""projID_51""},{""amount"":""200000"",""projectId"":""projID_10""},{""amount"":""1500000"",""projectId"":""projID_39""},{""amount"":""700000"",""projectId"":""projID_5""},{""amount"":""1600000"",""projectId"":""projID_107""},{""amount"":""1000000"",""projectId"":""projID_77""},{""amount"":""400000"",""projectId"":""projID_99""},{""amount"":""1800000"",""projectId"":""projID_69""},{""amount"":""1700000"",""projectId"":""projID_103""},{""amount"":""1800000"",""projectId"":""projID_61""},{""amount"":""300000"",""projectId"":""projID_59""},{""amount"":""700000"",""projectId"":""projID_9""},{""amount"":""300000"",""projectId"":""projID_67""},{""amount"":""400000"",""projectId"":""projID_108""},{""amount"":""900000"",""projectId"":""projID_92""},{""amount"":""100000"",""projectId"":""projID_4""},{""amount"":""1300000"",""projectId"":""projID_15""},{""amount"":""1200000"",""projectId"":""projID_18""},{""amount"":""1500000"",""projectId"":""projID_106""},{""amount"":""1000000"",""projectId"":""projID_62""},{""amount"":""1300000"",""projectId"":""projID_14""},{""amount"":""1600000"",""projectId"":""projID_45""},{""amount"":""1400000"",""projectId"":""projID_94""},{""amount"":""1200000"",""projectId"":""projID_85""},{""amount"":""800000"",""projectId"":""projID_88""},{""amount"":""900000"",""projectId"":""projID_65""},{""amount"":""1300000"",""projectId"":""projID_80""},{""amount"":""300000"",""projectId"":""projID_83""},{""amount"":""1100000"",""projectId"":""projID_75""},{""amount"":""1100000"",""projectId"":""projID_17""},{""amount"":""100000"",""projectId"":""projID_116""},{""amount"":""500000"",""projectId"":""projID_86""},{""amount"":""600000"",""projectId"":""projID_114""},{""amount"":""1200000"",""projectId"":""projID_110""},{""amount"":""1100000"",""projectId"":""projID_12""},{""amount"":""400000"",""projectId"":""projID_27""},{""amount"":""1800000"",""projectId"":""projID_46""},{""amount"":""1800000"",""projectId"":""projID_117""},{""amount"":""600000"",""projectId"":""projID_66""},{""amount"":""1400000"",""projectId"":""projID_73""},{""amount"":""1100000"",""projectId"":""projID_53""},{""amount"":""1800000"",""projectId"":""projID_72""},{""amount"":""600000"",""projectId"":""projID_90""},{""amount"":""1800000"",""projectId"":""projID_16""},{""amount"":""800000"",""projectId"":""projID_118""},{""amount"":""900000"",""projectId"":""projID_26""},{""amount"":""1900000"",""projectId"":""projID_38""},{""amount"":""1300000"",""projectId"":""projID_24""},{""amount"":""1500000"",""projectId"":""projID_34""},{""amount"":""100000"",""projectId"":""projID_7""},{""amount"":""800000"",""projectId"":""projID_54""},{""amount"":""800000"",""projectId"":""projID_36""},{""amount"":""1700000"",""projectId"":""projID_63""},{""amount"":""900000"",""projectId"":""projID_48""},{""amount"":""200000"",""projectId"":""projID_19""},{""amount"":""1100000"",""projectId"":""projID_91""},{""amount"":""1900000"",""projectId"":""projID_76""},{""amount"":""700000"",""projectId"":""projID_112""},{""amount"":""1800000"",""projectId"":""projID_52""},{""amount"":""800000"",""projectId"":""projID_58""},{""amount"":""300000"",""projectId"":""projID_71""},{""amount"":""1700000"",""projectId"":""projID_30""},{""amount"":""1200000"",""projectId"":""projID_87""}]"
"ID_4a7b9e","TRUE","TRUE","2024-07-23T00:10:33.092094Z","2024-07-21T08:10:33.092094Z","2024-07-23T00:10:33.092094Z","22","[{""amount"":""300000"",""projectId"":""projID_32""},{""amount"":""200000"",""projectId"":""projID_2""},{""amount"":""1100000"",""projectId"":""projID_111""},{""amount"":""1300000"",""projectId"":""projID_90""},{""amount"":""1800000"",""projectId"":""projID_79""},{""amount"":""1300000"",""projectId"":""projID_94""},{""amount"":""300000"",""projectId"":""projID_93""},{""amount"":""1000000"",""projectId"":""projID_56""},{""amount"":""1300000"",""projectId"":""projID_49""},{""amount"":""1500000"",""projectId"":""projID_31""},{""amount"":""600000"",""projectId"":""projID_114""},{""amount"":""1400000"",""projectId"":""projID_16""},{""amount"":""500000"",""projectId"":""projID_61""},{""amount"":""1600000"",""projectId"":""projID_100""},{""amount"":""200000"",""projectId"":""projID_21""},{""amount"":""900000"",""projectId"":""projID_50""},{""amount"":""700000"",""projectId"":""projID_86""},{""amount"":""800000"",""projectId"":""projID_55""},{""amount"":""800000"",""projectId"":""projID_37""},{""amount"":""1600000"",""projectId"":""projID_117""},{""amount"":""1400000"",""projectId"":""projID_52""},{""amount"":""100000"",""projectId"":""projID_66""}]"
"ID_73bda5","FALSE","TRUE","2024-08-05T13:10:33.092129Z","2024-08-05T08:10:33.092129Z","2024-08-05T13:10:33.092129Z","23","[{""amount"":""400000"",""projectId"":""projID_42""},{""amount"":""1100000"",""projectId"":""projID_17""},{""amount"":""200000"",""projectId"":""projID_94""},{""amount"":""700000"",""projectId"":""projID_19""},{""amount"":""700000"",""projectId"":""projID_10""},{""amount"":""1900000"",""projectId"":""projID_77""},{""amount"":""1700000"",""projectId"":""projID_85""},{""amount"":""1400000"",""projectId"":""projID_117""},{""amount"":""200000"",""projectId"":""projID_56""},{""amount"":""300000"",""projectId"":""projID_46""},{""amount"":""1700000"",""projectId"":""projID_26""},{""amount"":""700000"",""projectId"":""projID_15""},{""amount"":""1800000"",""projectId"":""projID_3""},{""amount"":""1400000"",""projectId"":""projID_55""},{""amount"":""1800000"",""projectId"":""projID_53""},{""amount"":""700000"",""projectId"":""projID_82""},{""amount"":""500000"",""projectId"":""projID_70""},{""amount"":""800000"",""projectId"":""projID_101""},{""amount"":""200000"",""projectId"":""projID_78""},{""amount"":""700000"",""projectId"":""projID_118""},{""amount"":""100000"",""projectId"":""projID_111""},{""amount"":""1500000"",""projectId"":""projID_95""},{""amount"":""1200000"",""projectId"":""projID_13""}]"
"ID_c2f0fe","FALSE","FALSE","","2024-07-31T08:10:33.092164Z","2024-08-01T19:10:33.092164Z","10","[{""amount"":""400000"",""projectId"":""projID_7""},{""amount"":""1500000"",""projectId"":""projID_88""},{""amount"":""800000"",""projectId"":""projID_52""},{""amount"":""1600000"",""projectId"":""projID_87""},{""amount"":""1200000"",""projectId"":""projID_69""},{""amount"":""900000"",""projectId"":""projID_60""},{""amount"":""900000"",""projectId"":""projID_24""},{""amount"":""900000"",""projectId"":""projID_82""},{""amount"":""1400000"",""projectId"":""projID_39""},{""amount"":""200000"",""projectId"":""projID_109""}]"
"ID_a2d015","FALSE","TRUE","2024-08-11T00:10:33.092187Z","2024-08-09T08:10:33.092187Z","2024-08-11T00:10:33.092187Z","18","[{""amount"":""100000"",""projectId"":""projID_46""},{""amount"":""1700000"",""projectId"":""projID_63""},{""amount"":""400000"",""projectId"":""projID_98""},{""amount"":""1000000"",""projectId"":""projID_83""},{""amount"":""700000"",""projectId"":""projID_106""},{""amount"":""1300000"",""projectId"":""projID_1""},{""amount"":""1300000"",""projectId"":""projID_112""},{""amount"":""900000"",""projectId"":""projID_48""},{""amount"":""1200000"",""projectId"":""projID_53""},{""amount"":""700000"",""projectId"":""projID_31""},{""amount"":""1500000"",""projectId"":""projID_81""},{""amount"":""800000"",""projectId"":""projID_57""},{""amount"":""1900000"",""projectId"":""projID_4""},{""amount"":""200000"",""projectId"":""projID_71""},{""amount"":""400000"",""projectId"":""projID_39""},{""amount"":""1900000"",""projectId"":""projID_107""},{""amount"":""1800000"",""projectId"":""projID_92""},{""amount"":""1900000"",""projectId"":""projID_8""}]"
"ID_aa0843","FALSE","TRUE","2024-07-18T21:10:33.092214Z","2024-07-18T08:10:33.092214Z","2024-07-18T21:10:33.092214Z","96","[{""amount"":""1600000"",""projectId"":""projID_26""},{""amount"":""1400000"",""projectId"":""projID_34""},{""amount"":""1800000"",""projectId"":""projID_15""},{""amount"":""300000"",""projectId"":""projID_78""},{""amount"":""1900000"",""projectId"":""projID_72""},{""amount"":""1800000"",""projectId"":""projID_55""},{""amount"":""700000"",""projectId"":""projID_61""},{""amount"":""1600000"",""projectId"":""projID_66""},{""amount"":""400000"",""projectId"":""projID_51""},{""amount"":""1000000"",""projectId"":""projID_52""},{""amount"":""1500000"",""projectId"":""projID_87""},{""amount"":""600000"",""projectId"":""projID_107""},{""amount"":""900000"",""projectId"":""projID_22""},{""amount"":""400000"",""projectId"":""projID_37""},{""amount"":""1600000"",""projectId"":""projID_69""},{""amount"":""100000"",""projectId"":""projID_111""},{""amount"":""900000"",""projectId"":""projID_14""},{""amount"":""1800000"",""projectId"":""projID_6""},{""amount"":""300000"",""projectId"":""projID_84""},{""amount"":""1400000"",""projectId"":""projID_12""},{""amount"":""1100000"",""projectId"":""projID_77""},{""amount"":""800000"",""projectId"":""projID_68""},{""amount"":""1900000"",""projectId"":""projID_119""},{""amount"":""1200000"",""projectId"":""projID_29""},{""amount"":""100000"",""projectId"":""projID_86""},{""amount"":""1100000"",""projectId"":""projID_33""},{""amount"":""200000"",""projectId"":""projID_53""},{""amount"":""1700000"",""projectId"":""projID_42""},{""amount"":""500000"",""projectId"":""projID_18""},{""amount"":""1200000"",""projectId"":""projID_75""},{""amount"":""1700000"",""projectId"":""projID_35""},{""amount"":""1400000"",""projectId"":""projID_105""},{""amount"":""1000000"",""projectId"":""projID_101""},{""amount"":""100000"",""projectId"":""projID_102""},{""amount"":""1400000"",""projectId"":""projID_3""},{""amount"":""1300000"",""projectId"":""projID_60""},{""amount"":""1600000"",""projectId"":""projID_28""},{""amount"":""1600000"",""projectId"":""projID_36""},{""amount"":""300000"",""projectId"":""projID_11""},{""amount"":""100000"",""projectId"":""projID_23""},{""amount"":""1600000"",""projectId"":""projID_82""},{""amount"":""900000"",""projectId"":""projID_73""},{""amount"":""700000"",""projectId"":""projID_99""},{""amount"":""600000"",""projectId"":""projID_115""},{""amount"":""1200000"",""projectId"":""projID_8""},{""amount"":""1700000"",""projectId"":""projID_30""},{""amount"":""800000"",""projectId"":""projID_44""},{""amount"":""600000"",""projectId"":""projID_25""},{""amount"":""1800000"",""projectId"":""projID_117""},{""amount"":""400000"",""projectId"":""projID_59""},{""amount"":""1800000"",""projectId"":""projID_67""},{""amount"":""400000"",""projectId"":""projID_100""},{""amount"":""600000"",""projectId"":""projID_118""},{""amount"":""1700000"",""projectId"":""projID_98""},{""amount"":""900000"",""projectId"":""projID_93""},{""amount"":""1300000"",""projectId"":""projID_19""},{""amount"":""900000"",""projectId"":""projID_89""},{""amount"":""100000"",""projectId"":""projID_95""},{""amount"":""1800000"",""projectId"":""projID_79""},{""amount"":""1500000"",""projectId"":""projID_71""},{""amount"":""900000"",""projectId"":""projID_92""},{""amount"":""900000"",""projectId"":""projID_85""},{""amount"":""1700000"",""projectId"":""projID_48""},{""amount"":""100000"",""projectId"":""projID_41""},{""amount"":""1300000"",""projectId"":""projID_70""},{""amount"":""900000"",""projectId"":""projID_9""},{""amount"":""900000"",""projectId"":""projID_120""},{""amount"":""1500000"",""projectId"":""projID_106""},{""amount"":""900000"",""projectId"":""projID_113""},{""amount"":""200000"",""projectId"":""projID_104""},{""amount"":""1100000"",""projectId"":""projID_27""},{""amount"":""700000"",""projectId"":""projID_63""},{""amount"":""1600000"",""projectId"":""projID_109""},{""amount"":""1800000"",""projectId"":""projID_110""},{""amount"":""1200000"",""projectId"":""projID_96""},{""amount"":""1200000"",""projectId"":""projID_91""},{""amount"":""300000"",""projectId"":""projID_103""},{""amount"":""1800000"",""projectId"":""projID_13""},{""amount"":""1100000"",""projectId"":""projID_58""},{""amount"":""800000"",""projectId"":""projID_10""},{""amount"":""400000"",""projectId"":""projID_4""},{""amount"":""1800000"",""projectId"":""projID_20""},{""amount"":""1500000"",""projectId"":""projID_54""},{""amount"":""200000"",""projectId"":""projID_57""},{""amount"":""1500000"",""projectId"":""projID_43""},{""amount"":""200000"",""projectId"":""projID_74""},{""amount"":""1000000"",""projectId"":""projID_94""},{""amount"":""1800000"",""projectId"":""projID_39""},{""amount"":""1600000"",""projectId"":""projID_24""},{""amount"":""1400000"",""projectId"":""projID_108""},{""amount"":""700000"",""projectId"":""projID_90""},{""amount"":""1400000"",""projectId"":""projID_38""},{""amount"":""1800000"",""projectId"":""projID_2""},{""amount"":""600000"",""projectId"":""projID_50""},{""amount"":""700000"",""projectId"":""projID_32""},{""amount"":""1800000"",""projectId"":""projID_97""}]"
"ID_6e909d","TRUE","FALSE","","2024-07-27T08:10:33.092330Z","2024-07-28T17:10:33.092330Z","31","[{""amount"":""800000"",""projectId"":""projID_48""},{""amount"":""900000"",""projectId"":""projID_14""},{""amount"":""300000"",""projectId"":""projID_109""},{""amount"":""1700000"",""projectId"":""projID_58""},{""amount"":""300000"",""projectId"":""projID_9""},{""amount"":""300000"",""projectId"":""projID_53""},{""amount"":""1700000"",""projectId"":""projID_47""},{""amount"":""500000"",""projectId"":""projID_106""},{""amount"":""1100000"",""projectId"":""projID_114""},{""amount"":""1100000"",""projectId"":""projID_88""},{""amount"":""1800000"",""projectId"":""projID_41""},{""amount"":""1500000"",""projectId"":""projID_38""},{""amount"":""1700000"",""projectId"":""projID_104""},{""amount"":""100000"",""projectId"":""projID_36""},{""amount"":""600000"",""projectId"":""projID_112""},{""amount"":""600000"",""projectId"":""projID_35""},{""amount"":""800000"",""projectId"":""projID_42""},{""amount"":""1400000"",""projectId"":""projID_94""},{""amount"":""400000"",""projectId"":""projID_12""},{""amount"":""700000"",""projectId"":""projID_52""},{""amount"":""700000"",""projectId"":""projID_89""},{""amount"":""200000"",""projectId"":""projID_93""},{""amount"":""1500000"",""projectId"":""projID_76""},{""amount"":""100000"",""projectId"":""projID_77""},{""amount"":""600000"",""projectId"":""projID_13""},{""amount"":""1600000"",""projectId"":""projID_50""},{""amount"":""1500000"",""projectId"":""projID_69""},{""amount"":""400000"",""projectId"":""projID_61""},{""amount"":""500000"",""projectId"":""projID_4""},{""amount"":""1500000"",""projectId"":""projID_99""},{""amount"":""400000"",""projectId"":""projID_29""}]"
"ID_59b732","FALSE","FALSE","","2024-07-31T08:10:33.092369Z","2024-08-01T11:10:33.092369Z","44","[{""amount"":""1100000"",""projectId"":""projID_77""},{""amount"":""300000"",""projectId"":""projID_37""},{""amount"":""1000000"",""projectId"":""projID_44""},{""amount"":""900000"",""projectId"":""projID_41""},{""amount"":""800000"",""projectId"":""projID_14""},{""amount"":""800000"",""projectId"":""projID_23""},{""amount"":""1300000"",""projectId"":""projID_54""},{""amount"":""1600000"",""projectId"":""projID_35""},{""amount"":""600000"",""projectId"":""projID_109""},{""amount"":""500000"",""projectId"":""projID_85""},{""amount"":""700000"",""projectId"":""projID_99""},{""amount"":""500000"",""projectId"":""projID_72""},{""amount"":""200000"",""projectId"":""projID_6""},{""amount"":""600000"",""projectId"":""projID_102""},{""amount"":""1200000"",""projectId"":""projID_114""},{""amount"":""1700000"",""projectId"":""projID_95""},{""amount"":""1100000"",""projectId"":""projID_28""},{""amount"":""100000"",""projectId"":""projID_108""},{""amount"":""1200000"",""projectId"":""projID_68""},{""amount"":""500000"",""projectId"":""projID_101""},{""amount"":""200000"",""projectId"":""projID_1""},{""amount"":""1300000"",""projectId"":""projID_36""},{""amount"":""1800000"",""projectId"":""projID_106""},{""amount"":""1700000"",""projectId"":""projID_40""},{""amount"":""1300000"",""projectId"":""projID_26""},{""amount"":""1200000"",""projectId"":""projID_110""},{""amount"":""400000"",""projectId"":""projID_81""},{""amount"":""1000000"",""projectId"":""projID_43""},{""amount"":""1700000"",""projectId"":""projID_19""},{""amount"":""1400000"",""projectId"":""projID_78""},{""amount"":""800000"",""projectId"":""projID_38""},{""amount"":""1900000"",""projectId"":""projID_10""},{""amount"":""1600000"",""projectId"":""projID_71""},{""amount"":""800000"",""projectId"":""projID_13""},{""amount"":""1600000"",""projectId"":""projID_47""},{""amount"":""1900000"",""projectId"":""projID_119""},{""amount"":""1800000"",""projectId"":""projID_12""},{""amount"":""900000"",""projectId"":""projID_2""},{""amount"":""900000"",""projectId"":""projID_104""},{""amount"":""1100000"",""projectId"":""projID_80""},{""amount"":""700000"",""projectId"":""projID_22""},{""amount"":""600000"",""projectId"":""projID_46""},{""amount"":""1000000"",""projectId"":""projID_96""},{""amount"":""900000"",""projectId"":""projID_91""}]"
"ID_3a0554","TRUE","TRUE","2024-08-14T12:10:33.092421Z","2024-08-14T08:10:33.092421Z","2024-08-14T12:10:33.092421Z","35","[{""amount"":""1800000"",""projectId"":""projID_12""},{""amount"":""900000"",""projectId"":""projID_63""},{""amount"":""1700000"",""projectId"":""projID_52""},{""amount"":""400000"",""projectId"":""projID_64""},{""amount"":""100000"",""projectId"":""projID_90""},{""amount"":""400000"",""projectId"":""projID_39""},{""amount"":""800000"",""projectId"":""projID_115""},{""amount"":""900000"",""projectId"":""projID_15""},{""amount"":""1200000"",""projectId"":""projID_20""},{""amount"":""600000"",""projectId"":""projID_29""},{""amount"":""900000"",""projectId"":""projID_84""},{""amount"":""1500000"",""projectId"":""projID_83""},{""amount"":""300000"",""projectId"":""projID_74""},{""amount"":""200000"",""projectId"":""projID_57""},{""amount"":""800000"",""projectId"":""projID_48""},{""amount"":""300000"",""projectId"":""projID_100""},{""amount"":""1700000"",""projectId"":""projID_27""},{""amount"":""600000"",""projectId"":""projID_81""},{""amount"":""1600000"",""projectId"":""projID_47""},{""amount"":""800000"",""projectId"":""projID_1""},{""amount"":""100000"",""projectId"":""projID_67""},{""amount"":""100000"",""projectId"":""projID_96""},{""amount"":""1900000"",""projectId"":""projID_88""},{""amount"":""800000"",""projectId"":""projID_69""},{""amount"":""1200000"",""projectId"":""projID_89""},{""amount"":""500000"",""projectId"":""projID_34""},{""amount"":""1200000"",""projectId"":""projID_43""},{""amount"":""1400000"",""projectId"":""projID_106""},{""amount"":""700000"",""projectId"":""projID_80""},{""amount"":""1700000"",""projectId"":""projID_60""},{""amount"":""1000000"",""projectId"":""projID_26""},{""amount"":""1800000"",""projectId"":""projID_6""},{""amount"":""800000"",""projectId"":""projID_114""},{""amount"":""100000"",""projectId"":""projID_95""},{""amount"":""200000"",""projectId"":""projID_79""}]"
"ID_45bdc1","TRUE","FALSE","","2024-07-27T08:10:33.092459Z","2024-07-28T21:10:33.092459Z","14","[{""amount"":""1100000"",""projectId"":""projID_15""},{""amount"":""300000"",""projectId"":""projID_55""},{""amount"":""1400000"",""projectId"":""projID_89""},{""amount"":""1100000"",""projectId"":""projID_25""},{""amount"":""1600000"",""projectId"":""projID_80""},{""amount"":""900000"",""projectId"":""projID_96""},{""amount"":""1600000"",""projectId"":""projID_70""},{""amount"":""200000"",""projectId"":""projID_66""},{""amount"":""500000"",""projectId"":""projID_71""},{""amount"":""1900000"",""projectId"":""projID_64""},{""amount"":""1900000"",""projectId"":""projID_85""},{""amount"":""200000"",""projectId"":""projID_44""},{""amount"":""500000"",""projectId"":""projID_103""},{""amount"":""800000"",""projectId"":""projID_90""}]"
